"id","label","node_type","strain_id","module_id","entity_class","identifier","description","source_url"
"gene:gmet_bbs_efgh","Gmet_1521-Gmet_1524 bbsEFGH","gene","gmet_gs15","gmet_aromatics","enzyme_cluster","Gmet_1521-Gmet_1524","Additional benzylsuccinate oxidation cluster","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_phenylphosphate_synthase","Gmet_2100-Gmet_2101 phenylphosphate synthase","gene","gmet_gs15","gmet_aromatics","enzyme_cluster","Gmet_2100-Gmet_2101","Two-subunit phenylphosphate synthase predicted for anaerobic phenol metabolism","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_phenylphosphate_carboxylase","Gmet_2102 phenylphosphate carboxylase","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2102","Phenylphosphate carboxylase predicted to convert phenylphosphate toward 4-hydroxybenzoate","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_p_cresol_methylhydroxylase","Gmet_2125-Gmet_2126 p-cresol methylhydroxylase","gene","gmet_gs15","gmet_aromatics","enzyme_cluster","Gmet_2125-Gmet_2126","Two-subunit methylhydroxylase homologs for p-cresol metabolism","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_2131_dehydrogenase","Gmet_2131 aldehyde dehydrogenase","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2131","Predicted dehydrogenase for 4-hydroxybenzaldehyde and benzaldehyde conversion","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_2235_dehydrogenase","Gmet_2235 benzyl alcohol dehydrogenase","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2235","Predicted benzyl alcohol dehydrogenase","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_4hbcoa_reductase","Gmet_2134-Gmet_2136 4-hydroxybenzoyl-CoA reductase","gene","gmet_gs15","gmet_aromatics","enzyme_cluster","Gmet_2134-Gmet_2136","4-hydroxybenzoyl-CoA reductase operon-like cluster","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_bam_y","Gmet_2143 benzoate-CoA ligase","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2143","Predicted benzoate-CoA ligase/BclA/BamY for benzoate activation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_bamb","Gmet_2087 BamB","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2087","Putative dearomatizing enzyme component strongly induced during benzoate oxidation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_bamc","Gmet_2086 BamC","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2086","4Fe-4S binding component induced during benzoate oxidation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_bamr","Gmet_2150 BamR/Dch","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2150","Cyclohexa-1,5-diene-1-carbonyl-CoA hydratase induced during benzoate oxidation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_bamq","Gmet_2151 BamQ/Had","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_2151","6-hydroxycyclohex-1-en-1-carbonyl-CoA dehydrogenase induced during benzoate oxidation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gmet_oah2","Gmet_3305 Oah2","gene","gmet_gs15","gmet_aromatics","enzyme","Gmet_3305","6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase paralog induced during benzoate oxidation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"gene:gsu_ars_operon","GSU2950-GSU2959 ars operon","gene","gsu_pca","gsu_arsenic","operon","GSU2950-GSU2959","Arsenic detoxification operon containing arsR1 arsC acr3 arsP thioredoxin and efflux components","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"gene:gsu_arsr1","GSU2952 ArsR1","gene","gsu_pca","gsu_arsenic","regulator","GSU2952","ArsR-family regulator controlling the G. sulfurreducens ars operon","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"gene:gsu_arsc","GSU2953 ArsC","gene","gsu_pca","gsu_arsenic","enzyme","GSU2953","Thioredoxin-associated arsenate reductase","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"gene:gsu_acr3","GSU2954 Acr3","gene","gsu_pca","gsu_arsenic","transporter","GSU2954","Arsenite efflux pump required for arsenic tolerance","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"gene:gmet_arsc","Gmet_0521 ArsC","gene","gmet_gs15","gmet_arsenic","enzyme","Gmet_0521","Predicted arsenate reductase in G. metallireducens","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"gene:gmet_acr3","Gmet_0520 Acr3","gene","gmet_gs15","gmet_arsenic","transporter","Gmet_0520","Predicted arsenite efflux pump in G. metallireducens","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"gene:gmet_arsm","Gmet_2791 ArsM","gene","gmet_gs15","gmet_arsenic","enzyme","Gmet_2791","Predicted arsenite S-adenosylmethyltransferase","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"system:gsu_eet_cytochromes","PCA multiheme c-type cytochrome EET system","system","gsu_pca","gsu_metal_redox","redox_system","ImcH,CbcL,PpcA-E,OmcB,OmcE,OmcS,OmcT,OmcZ","Extracellular electron-transfer system supporting metal/electrode reduction","https://pmc.ncbi.nlm.nih.gov/articles/PMC5585712/"
"system:glov_unknown_rdase","SZ organohalide reductive dechlorination system","system","glov_sz","glov_organochlorine","redox_system","unresolved","Phenotype-supported PCE/TCE chlororespiration system; specific rdase assignment unresolved in this seed graph","https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/"
"system:geo_iae_unknown_rdase","IAE chlorinated-ethane dihaloelimination system","system","geo_iae","geo_iae_organochlorine","redox_system","unresolved","Population-dynamics-supported dihaloelimination system; specific rdase assignment unresolved in this seed graph","https://www.osti.gov/servlets/purl/1860551"
"compound:toluene","Toluene","compound","","gmet_aromatics","monoaromatic","PubChem:1140","Aromatic hydrocarbon and environmental pollutant","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:phenol","Phenol","compound","","gmet_aromatics","phenolic","PubChem:996","Phenolic aromatic substrate for G. metallireducens","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:p_cresol","p-Cresol","compound","","gmet_aromatics","phenolic","PubChem:2879","Methylphenol substrate for G. metallireducens","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:benzyl_alcohol","Benzyl alcohol","compound","","gmet_aromatics","aromatic_alcohol","PubChem:244","Aromatic alcohol substrate","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:benzaldehyde","Benzaldehyde","compound","","gmet_aromatics","aromatic_aldehyde","PubChem:240","Aromatic aldehyde substrate","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:4_hydroxybenzaldehyde","4-Hydroxybenzaldehyde","compound","","gmet_aromatics","aromatic_aldehyde","PubChem:126","Hydroxyaromatic aldehyde substrate","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:4_hydroxybenzoate","4-Hydroxybenzoate","compound","","gmet_aromatics","hydroxybenzoate","ChEBI:30763","Hydroxybenzoate intermediate/substrate","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:benzoate","Benzoate","compound","","gmet_aromatics","aromatic_acid","ChEBI:16150","Central aromatic acid feeding benzoyl-CoA metabolism","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:benzoyl_coa","Benzoyl-CoA","compound","","gmet_aromatics","central_intermediate","ChEBI:15515","Central anaerobic aromatic degradation intermediate","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:3_hydroxypimelyl_coa","3-Hydroxypimelyl-CoA","compound","","gmet_aromatics","downstream_intermediate","","Dearomatized downstream intermediate leading to acetyl-CoA","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:acetyl_coa","Acetyl-CoA","compound","","gmet_aromatics","central_metabolite","ChEBI:15351","Central metabolite generated by downstream aromatic degradation","https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/"
"compound:arsenate","Arsenate As(V)","compound","","gsu_arsenic;gmet_arsenic","inorganic_toxicant","ChEBI:22631","Oxidized arsenic species reduced by ArsC for detoxification","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"compound:arsenite","Arsenite As(III)","compound","","gsu_arsenic;gmet_arsenic","inorganic_toxicant","ChEBI:22632","Reduced arsenic species exported by Acr3 and potentially methylated by ArsM in some species","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"compound:chromate","Chromate Cr(VI)","compound","","gsu_metal_redox","inorganic_toxicant","ChEBI:35404","Toxic hexavalent chromium oxyanion reduced by G. sulfurreducens cells","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full"
"compound:chromium_iii","Chromium(III)","compound","","gsu_metal_redox","reduced_metal_product","","Reduced Cr(III) product","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full"
"compound:uranium_vi","Uranium(VI)","compound","","gsu_metal_redox;glov_organochlorine","radionuclide_toxicant","","Soluble uranium species reducible by Geobacter biofilms/strains","https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/"
"compound:uranium_iv","Uranium(IV)","compound","","gsu_metal_redox;glov_organochlorine","reduced_radionuclide_product","","Reduced uranium species associated with immobilization","https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/"
"compound:vanadium_v","Vanadium(V)","compound","","gsu_metal_redox","inorganic_toxicant","","VO2(edta)3- model oxidant reduced by G. sulfurreducens","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full"
"compound:vanadium_iv","Vanadium(IV)","compound","","gsu_metal_redox","reduced_metal_product","","Reduced vanadium product","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full"
"compound:manganese_vii","Permanganate Mn(VII)","compound","","gsu_metal_redox","inorganic_oxidant","","Permanganate model oxidant reduced by G. sulfurreducens","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full"
"compound:manganese_iv","Manganese(IV)","compound","","gsu_metal_redox","reduced_metal_product","","Reduced Mn(IV) product from permanganate in kinetic study","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full"
"compound:pce","Tetrachloroethene PCE","compound","","glov_organochlorine","organohalide","PubChem:31373","Chlorinated ethene electron acceptor reduced by G. lovleyi SZ","https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/"
"compound:tce","Trichloroethene TCE","compound","","glov_organochlorine","organohalide","PubChem:6575","Chlorinated ethene electron acceptor reduced by G. lovleyi SZ","https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/"
"compound:cis_dce","cis-1,2-Dichloroethene","compound","","glov_organochlorine","organohalide_product","PubChem:643833","Product of PCE/TCE dechlorination by G. lovleyi SZ","https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/"
"compound:1_2_dca","1,2-Dichloroethane","compound","","geo_iae_organochlorine","organohalide","PubChem:11","Chlorinated ethane substrate dihaloeliminated by Geobacter sp. strain IAE","https://www.osti.gov/servlets/purl/1860551"
"compound:1_1_2_tca","1,1,2-Trichloroethane","compound","","geo_iae_organochlorine","organohalide","PubChem:6574","Chlorinated ethane substrate dihaloeliminated by Geobacter sp. strain IAE","https://www.osti.gov/servlets/purl/1860551"
"compound:vinyl_chloride","Vinyl chloride","compound","","geo_iae_organochlorine","organohalide_intermediate","PubChem:6338","Product of 1,1,2-TCA dihaloelimination and substrate for partner Dhc hydrogenolysis","https://www.osti.gov/servlets/purl/1860551"
"compound:ethene","Ethene","compound","","geo_iae_organochlorine","detoxified_product","PubChem:6325","Benign dechlorination product from 1,2-DCA and final product in IAE-Dhc consortium","https://www.osti.gov/servlets/purl/1860551"
"strain:dhc_195","Dehalococcoides mccartyi 195","strain","dhc_195","","organism","NCBI Taxonomy 243164","Obligate organohalide-respiring anaerobe (Chloroflexota) that catalyzes complete reductive dechlorination of tetrachloroethene (PCE) through TCE, cis-DCE, and vinyl chloride to non-toxic ethene. Terminal-step dehalogenator distinct from Geobacter which stalls at cis-DCE.","https://pubmed.ncbi.nlm.nih.gov/17513589/"
"module:dhc_organohalide","Dehalococcoides complete-dechlorination module","module","dhc_195","dhc_organohalide","pathway_module","","Sequential reductive-dehalogenase system (RdhA family): PceA (PCE to TCE), TceA (TCE to cis-DCE), VcrA and BvcA (cis-DCE and VC to ethene). Enables organohalide respiration to the terminal ethene product.","https://pubmed.ncbi.nlm.nih.gov/17513589/"
"gene:dhc_pcea","PceA reductive dehalogenase (Dhc)","gene","dhc_195","dhc_organohalide","enzyme_cluster","DET0318 (pceA)","First-step reductive dehalogenase; converts PCE to TCE.","https://pubmed.ncbi.nlm.nih.gov/17513589/"
"gene:dhc_tcea","TceA reductive dehalogenase (Dhc)","gene","dhc_195","dhc_organohalide","enzyme_cluster","DET0079 (tceA)","TCE-dechlorinating reductive dehalogenase; converts TCE to cis-DCE.","https://pubmed.ncbi.nlm.nih.gov/17513589/"
"gene:dhc_vcra","VcrA/BvcA reductive dehalogenase (Dhc)","gene","dhc_195","dhc_organohalide","enzyme_cluster","vcrA (VS strain) / bvcA (BAV1)","Terminal-step reductive dehalogenase; converts cis-DCE and VC to non-toxic ethene.","https://pubmed.ncbi.nlm.nih.gov/17513589/"
"strain:ppu_kt2440","Pseudomonas putida KT2440","strain","ppu_kt2440","","organism","NCBI Taxonomy 160488","Aerobic soil pseudomonad; workhorse organism for oxidative aromatic and PAH catabolism. Multiple ring-hydroxylating dioxygenase systems including toluene/xylene monooxygenases, naphthalene dioxygenase, and aromatic amine oxidases. Distinct from Geobacter anaerobic route. [CAVEAT] CAVEAT - for the TodC1C2 toluene-dioxygenase catalytic claim a tod-specific enzymology citation should also be added, since KT2440 itself is not the classic tod host (tod originates in P. putida F1).","https://pubmed.ncbi.nlm.nih.gov/12534463/"
"module:ppu_pah_ring_hydroxylation","KT2440 PAH ring-hydroxylation module","module","ppu_kt2440","ppu_pah_ring_hydroxylation","pathway_module","","Ring-hydroxylating-dioxygenase system based on todC1C2 (toluene dioxygenase) and NahAaAbAcAd (naphthalene dioxygenase) homologs. Initiates oxidative attack on aromatic hydrocarbons including benzo[a]pyrene ring systems. [CAVEAT] CAVEAT - no fetched source shows KT2440 NDO forming BaP-7,8-cis-dihydrodiol, so that specific compound/edge should be flagged as inferred or removed.","https://pubmed.ncbi.nlm.nih.gov/10986254/"
"gene:ppu_todc","TodC1C2 toluene dioxygenase (KT2440)","gene","ppu_kt2440","ppu_pah_ring_hydroxylation","enzyme_cluster","PP_3268-PP_3269 (todC1 todC2 homologs)","Ring-hydroxylating dioxygenase; initial oxidative attack on aromatic ring. [CAVEAT] CAVEAT - for the TodC1C2 toluene-dioxygenase catalytic claim a tod-specific enzymology citation should also be added, since KT2440 itself is not the classic tod host (tod originates in P. putida F1).","https://pubmed.ncbi.nlm.nih.gov/12534463/"
"gene:ppu_ndo","NdoB / naphthalene dioxygenase homolog (KT2440)","gene","ppu_kt2440","ppu_pah_ring_hydroxylation","enzyme_cluster","PP_2569-PP_2571 (nahAaAb homologs)","Naphthalene dioxygenase family enzyme active on PAH substrates including benzo[a]pyrene under some conditions. [CAVEAT] CAVEAT - no fetched source shows KT2440 NDO forming BaP-7,8-cis-dihydrodiol, so that specific compound/edge should be flagged as inferred or removed.","https://pubmed.ncbi.nlm.nih.gov/10986254/"
"compound:bap","Benzo[a]pyrene","compound","shared","","polycyclic_aromatic_hydrocarbon","BaP","PAH exposure anchor; canonical CYP1A1/1B1 substrate in humans, aerobic dioxygenase substrate in bacteria.","https://academic.oup.com/toxsci/article/145/1/5/1627571"
"compound:bap_dihydrodiol","BaP-7,8-cis-dihydrodiol (bacterial)","compound","shared","","aromatic_intermediate","BaP-7,8-diol","cis-dihydrodiol product of bacterial dioxygenase attack on BaP; distinct from the CYP1A1-derived arene-oxide + trans-dihydrodiol that becomes BPDE in mammalian cells. [CAVEAT] CAVEAT - no fetched source shows KT2440 NDO forming BaP-7,8-cis-dihydrodiol, so that specific compound/edge should be flagged as inferred or removed.","https://pubmed.ncbi.nlm.nih.gov/10986254/"
"compound:four_abp","4-Aminobiphenyl","compound","shared","","aromatic_amine","4-ABP","Aromatic-amine bladder carcinogen; substrate for both bacterial aromatic-amine oxidase (aerobic deamination) and human CYP1A2 N-hydroxylation followed by NAT2 acetylation.","https://pubmed.ncbi.nlm.nih.gov/22367088/"
"strain:rho_erythropolis","Rhodococcus erythropolis","strain","rho_erythropolis","","organism","NCBI Taxonomy 1833","Aerobic actinomycete with broad xenobiotic catabolism. Uses F420-dependent oxidoreductases (FDR-A/FDR-B family) to reduce the bisfuran ring of aflatoxin B1, opening the toxic lactone and disabling the CYP1A2-derived exo-8,9-epoxide bioactivation route. Distinct from mammalian bioactivation.","https://pubmed.ncbi.nlm.nih.gov/16061299/"
"module:rho_erythropolis_afb1_reduction","R. erythropolis AFB1-reductase module","module","rho_erythropolis","rho_erythropolis_afb1_reduction","pathway_module","","F420-dependent oxidoreductase system for the reduction and detoxification of aflatoxin B1. Substrate: AFB1; product: less-toxic reduced AFB1 species.","https://pubmed.ncbi.nlm.nih.gov/16061299/"
"gene:rho_fdr_afb1","AFB1 reductase (inferred F420H2-dependent, R. erythropolis)","gene","rho_erythropolis","rho_erythropolis_afb1_reduction","enzyme_cluster","FDR-A / FDR-B homologs","AFB1 reductase activity in R. erythropolis cell-free extracts (Teniola 2005, PMID 16061299). Cofactor attribution to F420H2 is inferred by homology to the widespread Actinomycetales FDR-A family (Lapalikar 2012, PMID 22383957); no R. erythropolis-specific cofactor identification is published.","https://pubmed.ncbi.nlm.nih.gov/22383957/"
"strain:rho_rha1","Rhodococcus sp. RHA1 (with R. ruber ENV425 co-reference)","strain","rho_rha1","","organism","GenBank AY177363 (16S)","Rhodococcus sp. RHA1 (Sharp 2007, PMID 17873074) and Rhodococcus ruber ENV425 (Fournier 2009, PMID 19542346) are the two characterized aerobic NDMA-degrading actinomycetes; both encode an inducible propane monooxygenase that oxidizes N-nitrosodimethylamine to methylamine and formaldehyde. RHA1 is the primary reference strain in the graph; ENV425 is co-cited on the module and edges.","https://pubmed.ncbi.nlm.nih.gov/17873074/"
"module:rho_rha1_ndma_degradation","RHA1 NDMA-degradation module (with ENV425 co-reference)","module","rho_rha1","rho_rha1_ndma_degradation","pathway_module","","Inducible aerobic propane monooxygenase (prmABCD-like) oxidizes NDMA to methylamine and formaldehyde in Rhodococcus sp. RHA1 (Sharp 2007) and R. ruber ENV425 (Fournier 2009); a bacterial route absent from the human host, whose CYP2E1 instead bioactivates NDMA to DNA-methylating species.","https://pubmed.ncbi.nlm.nih.gov/17873074/"
"gene:rho_prmo_ndma","Propane-monooxygenase homolog for NDMA (Rhodococcus sp. ANM-7)","gene","rho_rha1","rho_rha1_ndma_degradation","enzyme_cluster","prmABCD homolog","Aerobic soluble propane-monooxygenase-family enzyme; initiates NDMA oxidation. [CAVEAT] CAVEAT - the graph's strain label 'ANM-7' is not documented in the retrievable literature and should be renamed to RHA1 (or to Rhodococcus ruber ENV425, PMID 19542346, doi:10.1128/AEM.00418-09) to match the cited evidence.","https://pubmed.ncbi.nlm.nih.gov/17873074/"
"compound:afb1","Aflatoxin B1","compound","shared","","mycotoxin","AFB1","Mycotoxin from Aspergillus flavus and A. parasiticus; potent liver carcinogen via CYP1A2/3A4-derived exo-8,9-epoxide.","https://pubmed.ncbi.nlm.nih.gov/16061299/"
"compound:afb1_reduced","AFB1 reduced product","compound","shared","","detoxification_product","AFB1-reduced","Bacterial reduction product of the AFB1 bisfuran; cannot form the mammalian exo-8,9-epoxide. Strain-specific activity from Teniola 2005 (PMID 16061299); F420H2 mechanism from Lapalikar 2012 (PMID 22383957).","https://pubmed.ncbi.nlm.nih.gov/22383957/"
"compound:ndma","N-Nitrosodimethylamine","compound","shared","","nitrosamine","NDMA","Small volatile nitrosamine; potent CYP2E1 substrate in mammalian bioactivation to methylating species. [CAVEAT] CAVEAT - the graph's strain label 'ANM-7' is not documented in the retrievable literature and should be renamed to RHA1 (or to Rhodococcus ruber ENV425, PMID 19542346, doi:10.1128/AEM.00418-09) to match the cited evidence.","https://pubmed.ncbi.nlm.nih.gov/17873074/"
"compound:methylamine","Methylamine","compound","shared","","aliphatic_amine","methylamine","Aerobic bacterial catabolic intermediate downstream of NDMA oxidation. [CAVEAT] CAVEAT - the graph's strain label 'ANM-7' is not documented in the retrievable literature and should be renamed to RHA1 (or to Rhodococcus ruber ENV425, PMID 19542346, doi:10.1128/AEM.00418-09) to match the cited evidence.","https://pubmed.ncbi.nlm.nih.gov/17873074/"
"strain:bthet_vpi5482","Bacteroides thetaiotaomicron VPI-5482","strain","bthet_vpi5482","","organism","NCBI Taxonomy 226186","Abundant colonic Bacteroidetes; two catabolic modules relevant to xenobiotic handling. Azoreductase activity reduces aromatic-amine precursors; beta-glucuronidase deconjugates host-glucuronidated substrates including AFB1-N7-guanine glucuronide, releasing free carcinogen back into the lumen.","https://pubmed.ncbi.nlm.nih.gov/12663928/"
"module:bthet_azo_reduction","B. thetaiotaomicron gut azo-reduction module","module","bthet_vpi5482","bthet_azo_reduction","pathway_module","","FMN-dependent azoreductase system; reductive cleavage of azo bonds. Handles aromatic amine precursor substrates including azo-linked benzidine and aminobiphenyl dyes. [CAVEAT] CAVEAT - a B. thetaiotaomicron-specific enzymology paper would be stronger; alternative supporting primary source: Rafii F, Franklin W, Cerniglia CE, Appl Environ Microbiol 1990, PMID 2202258, doi:10.1128/aem.56.7.2146-2151.1990.","https://pubmed.ncbi.nlm.nih.gov/36116790/"
"module:bthet_beta_glucuronidase","B. thetaiotaomicron beta-glucuronidase deconjugation module","module","bthet_vpi5482","bthet_beta_glucuronidase","pathway_module","","Gut microbial beta-glucuronidase (GUS) family; hydrolyzes host-conjugated glucuronides in the intestinal lumen, releasing free aglycones back for reabsorption. Relevant to AFB1 detoxification counter-currents and other host-glucuronidated carcinogens. [CAVEAT] CAVEAT - AFB1-N7-guanine glucuronide is not itself an assayed substrate here, so that specific compound edge remains inferred.","https://pubmed.ncbi.nlm.nih.gov/28578872/"
"gene:bthet_azor","FMN-dependent azoreductase (B. thetaiotaomicron)","gene","bthet_vpi5482","bthet_azo_reduction","enzyme_cluster","BT_1017 (azoR homolog)","FMN-dependent azoreductase; reductive cleavage of azo bonds. [CAVEAT] CAVEAT - a B. thetaiotaomicron-specific enzymology paper would be stronger; alternative supporting primary source: Rafii F, Franklin W, Cerniglia CE, Appl Environ Microbiol 1990, PMID 2202258, doi:10.1128/aem.56.7.2146-2151.1990.","https://pubmed.ncbi.nlm.nih.gov/36116790/"
"gene:bthet_gus","Beta-glucuronidase (B. thetaiotaomicron)","gene","bthet_vpi5482","bthet_beta_glucuronidase","enzyme_cluster","BT_3086 (loop 1 GUS)","Loop-1 beta-glucuronidase; hydrolyzes glucuronide conjugates released via biliary excretion. [CAVEAT] CAVEAT - AFB1-N7-guanine glucuronide is not itself an assayed substrate here, so that specific compound edge remains inferred.","https://pubmed.ncbi.nlm.nih.gov/28578872/"
"strain:vpar_dsm2008","Veillonella parvula DSM 2008","strain","vpar_dsm2008","","organism","NCBI Taxonomy 479436","Oral commensal (tongue biofilm) with anaerobic nitrate reductase (nap-type). Reduces salivary nitrate to nitrite; the second step (nitrite to nitric oxide and further) is oxygen-limited, so the oral cavity is not a strong endogenous nitrosation site. Provides ecosystem_outsourced reference for the nitrosamine axis. [CAVEAT] CAVEAT - it is not strain-DSM-2008-specific and does not evidence the nap/NapA gene assignment, so the gene-level rows should either cite a V. parvula genome/nap paper or be downgraded to inferred.","https://pubmed.ncbi.nlm.nih.gov/15693824/"
"module:vpar_oral_nitrate_reduction","V. parvula oral nitrate-reduction module","module","vpar_dsm2008","vpar_oral_nitrate_reduction","pathway_module","","Periplasmic nitrate-reductase (nap-type) system; canonical driver of the entero-salivary nitrate cycle. [CAVEAT] CAVEAT - it is not strain-DSM-2008-specific and does not evidence the nap/NapA gene assignment, so the gene-level rows should either cite a V. parvula genome/nap paper or be downgraded to inferred.","https://pubmed.ncbi.nlm.nih.gov/15693824/"
