edge_id,source_id,target_id,predicate,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes
edge:iae_12dca_to_ethene,compound:1_2_dca,compound:ethene,dihaloeliminated_to,system:geo_iae_unknown_rdase,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,detoxification,https://www.osti.gov/servlets/purl/1860551,"1,2-DCA converted to ethene with Geobacter strain IAE growth"
edge:iae_112tca_to_vc,compound:1_1_2_tca,compound:vinyl_chloride,dihaloeliminated_to,system:geo_iae_unknown_rdase,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,partial_detoxification_with_toxic_intermediate,https://www.osti.gov/servlets/purl/1860551,"1,1,2-TCA converted to vinyl chloride by IAE-associated activity"
edge:iae_dhc_vc_to_ethene,compound:vinyl_chloride,compound:ethene,hydrogenolyzed_to,partner:dehalococcoides_mccartyi,geo_iae,geo_iae_organochlorine,2,community_dynamics,complete_detoxification_by_partner,https://www.osti.gov/servlets/purl/1860551,VC-to-ethene step attributed to Dhc rather than Geobacter IAE
edge:dhc_195_has_organohalide_module,strain:dhc_195,module:dhc_organohalide,has_module,,dhc_195,dhc_organohalide,1,genome_and_phenotype,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,Complete-dechlorination phenotype documented in strain 195.
edge:dhc_pce_to_tce,compound:pce,compound:tce,reduced_to,gene:dhc_pcea,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,PceA catalyzes PCE-to-TCE reductive dechlorination.
edge:dhc_tce_to_cisdce,compound:tce,compound:cis_dce,reduced_to,gene:dhc_tcea,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,TceA catalyzes TCE-to-cis-DCE reductive dechlorination.
edge:dhc_cisdce_to_vc,compound:cis_dce,compound:vinyl_chloride,reduced_to,gene:dhc_vcra,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,VcrA-type reductive dehalogenase catalyzes cis-DCE to VC step.
edge:dhc_vc_to_ethene,compound:vinyl_chloride,compound:ethene,reduced_to,gene:dhc_vcra,dhc_195,dhc_organohalide,1,biochemistry,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,"VcrA completes the pathway from VC to non-toxic ethene, the terminal step Geobacter cannot complete."
edge:ppu_kt2440_has_amine_module,strain:ppu_kt2440,module:ppu_aerobic_aromatic_amine,has_module,,ppu_kt2440,ppu_aerobic_aromatic_amine,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/22367088/,Genome-encoded aerobic aromatic-amine oxidation module.
edge:ppu_kt2440_has_pah_module,strain:ppu_kt2440,module:ppu_pah_ring_hydroxylation,has_module,,ppu_kt2440,ppu_pah_ring_hydroxylation,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/16751444/,Genome-encoded ring-hydroxylating dioxygenase module.
edge:ppu_bap_ring_hydroxylation,compound:bap,compound:bap_dihydrodiol,transformed_to,gene:ppu_ndo;gene:ppu_todc,ppu_kt2440,ppu_pah_ring_hydroxylation,2,biochemistry,aerobic_catabolism_entry,https://pubmed.ncbi.nlm.nih.gov/16751444/,Aerobic ring-hydroxylating dioxygenase attack forms cis-dihydrodiol; distinct from mammalian CYP1A1/1B1 arene-oxide route.
edge:ppu_4abp_deamination,compound:four_abp,compound:four_abp_deaminated,transformed_to,gene:ppu_aaox,ppu_kt2440,ppu_aerobic_aromatic_amine,2,biochemistry,aerobic_deamination,https://pubmed.ncbi.nlm.nih.gov/22367088/,Aerobic aromatic-amine oxidase attacks the amine group; product feeds downstream aerobic catabolism.
edge:rho_erythropolis_has_afb1_module,strain:rho_erythropolis,module:rho_erythropolis_afb1_reduction,has_module,,rho_erythropolis,rho_erythropolis_afb1_reduction,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/23023529/,AFB1-reductase capacity documented in R. erythropolis and related actinomycetes.
edge:rho_afb1_reduction,compound:afb1,compound:afb1_reduced,reduced_to,gene:rho_fdr_afb1,rho_erythropolis,rho_erythropolis_afb1_reduction,2,biochemistry,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC3187090/,F420-dependent reduction of AFB1 bisfuran ring; disables mammalian CYP1A2/3A4 bioactivation route.
edge:rho_anm7_has_ndma_module,strain:rho_anm7,module:rho_anm7_ndma_degradation,has_module,,rho_anm7,rho_anm7_ndma_degradation,2,genome_and_phenotype,capability,https://pubmed.ncbi.nlm.nih.gov/16269791/,Growth on NDMA as sole N-source documented for Rhodococcus sp. ANM-7.
edge:rho_ndma_to_methylamine,compound:ndma,compound:methylamine,transformed_to,gene:rho_prmo_ndma,rho_anm7,rho_anm7_ndma_degradation,2,biochemistry,aerobic_catabolism_entry,https://pubmed.ncbi.nlm.nih.gov/16269791/,Aerobic monooxygenase-mediated NDMA oxidation to methylamine and formaldehyde intermediates; distinct from CYP2E1 methylating route.
edge:bthet_vpi5482_has_azo_module,strain:bthet_vpi5482,module:bthet_azo_reduction,has_module,,bthet_vpi5482,bthet_azo_reduction,1,genome_and_biochemistry,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC5715131/,Azoreductase activity documented in Bacteroides thetaiotaomicron.
edge:bthet_vpi5482_has_gus_module,strain:bthet_vpi5482,module:bthet_beta_glucuronidase,has_module,,bthet_vpi5482,bthet_beta_glucuronidase,1,genome_and_biochemistry,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC5389526/,Loop-1 beta-glucuronidase encoded and active in B. thetaiotaomicron VPI-5482.
edge:bthet_azo_to_4abp,compound:azo_4abp_dye,compound:four_abp,reduced_to,gene:bthet_azor,bthet_vpi5482,bthet_azo_reduction,2,biochemistry,reductive_cleavage,https://pmc.ncbi.nlm.nih.gov/articles/PMC5715131/,"Gut azoreductase reduces azo-linked aromatic-amine precursors, releasing free 4-ABP into the lumen."
edge:bthet_gus_deconjugates_afb1,compound:afb1_n7_gluc,compound:afb1,hydrolyzed_to,gene:bthet_gus,bthet_vpi5482,bthet_beta_glucuronidase,2,biochemistry,deconjugation,https://pmc.ncbi.nlm.nih.gov/articles/PMC5389526/,"Loop-1 beta-glucuronidase deconjugates host AFB1-N7-guanine glucuronide, releasing the free carcinogen for reabsorption."
edge:vpar_dsm2008_has_nitrate_module,strain:vpar_dsm2008,module:vpar_oral_nitrate_reduction,has_module,,vpar_dsm2008,vpar_oral_nitrate_reduction,1,genome_and_biochemistry,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC4462107/,Napa-type periplasmic nitrate reduction documented for Veillonella parvula.
edge:vpar_nitrate_to_nitrite,compound:nitrate,compound:nitrite,reduced_to,gene:vpar_nap,vpar_dsm2008,vpar_oral_nitrate_reduction,1,biochemistry,entero_salivary_cycle,https://pmc.ncbi.nlm.nih.gov/articles/PMC4462107/,Oral nitrate reduction to nitrite; nitrite enters acidic stomach where N-nitrosation reactions may occur.
edge:gene:gme_Gmet_1538_member_of_gene:gmet_bsscab,gene:gme_Gmet_1538,gene:gmet_bsscab,member_of,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1538,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1538_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1538,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1538,Toluene degradation
edge:gene:gme_Gmet_1538_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1538,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1538,Metabolic pathways
edge:gene:gme_Gmet_1538_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1538,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1538,Degradation of aromatic compounds
edge:gene:gme_Gmet_1539_member_of_gene:gmet_bsscab,gene:gme_Gmet_1539,gene:gmet_bsscab,member_of,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1539,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1539,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Toluene degradation
edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1539,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Metabolic pathways
edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1539,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1539,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Degradation of aromatic compounds
edge:gene:gme_Gmet_1540_member_of_gene:gmet_bsscab,gene:gme_Gmet_1540,gene:gmet_bsscab,member_of,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1540,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1540_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1540,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1540,Toluene degradation
edge:gene:gme_Gmet_1540_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1540,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1540,Metabolic pathways
edge:gene:gme_Gmet_1540_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1540,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1540,Degradation of aromatic compounds
edge:gene:gme_Gmet_1528_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1528,gene:gmet_bbsabcd,member_of,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1528,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1528,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Toluene degradation
edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1528,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Metabolic pathways
edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1528,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1528,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Degradation of aromatic compounds
edge:gene:gme_Gmet_1529_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1529,gene:gmet_bbsabcd,member_of,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1529,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1529,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Toluene degradation
edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1529,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Metabolic pathways
edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1529,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1529,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Degradation of aromatic compounds
edge:gene:gme_Gmet_1530_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1530,gene:gmet_bbsabcd,member_of,gene:gme_Gmet_1530,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1530,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1531_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1531,gene:gmet_bbsabcd,member_of,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1531,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1531,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Toluene degradation
edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1531,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Metabolic pathways
edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1531,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1531,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Degradation of aromatic compounds
edge:gene:gme_Gmet_1521_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1521,gene:gmet_bbs_efgh,member_of,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1521,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1521,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Toluene degradation
edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1521,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Metabolic pathways
edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1521,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1521,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Degradation of aromatic compounds
edge:gene:gme_Gmet_1522_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1522,gene:gmet_bbs_efgh,member_of,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1522,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1522,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Toluene degradation
edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1522,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Metabolic pathways
edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1522,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Microbial metabolism in diverse environments
